Unnamed: 0,tradeDate,股票代码,名称,close,high,low,open,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,MA_5,MA_20,MA_60,EMA_5,EMA_20,EMA_60
0,20180404,'600000,浦发银行,11.53,11.65,11.53,11.61,11.56,-0.03,-0.2595,0.0699,19637509,227689712.0,338429486977.0,324036397755.0,11.614000000000003,12.038500000000004,,11.609501172823256,11.954804384881466,12.32227019625242
1,20180403,'600000,浦发银行,11.56,11.67,11.54,11.66,11.71,-0.15,-1.281,0.0651,18303514,211906876.0,339310049389.0,324879510672.0,11.622000000000003,12.086500000000004,,11.649251759328397,11.999854738020838,12.355642735540894
2,20180402,'600000,浦发银行,11.71,11.82,11.65,11.68,11.65,0.06,0.515,0.0986,27719599,325667590.0,343712861449.0,329095075257.0,11.634000000000004,12.133000000000006,,11.693877639150067,12.04653789131011,12.389435257372796
3,20180330,'600000,浦发银行,11.65,11.69,11.61,11.63,11.62,0.03,0.2582,0.0828,23271965,270987701.0,341951736625.0,327408849423.0,11.614000000000003,12.168500000000005,,11.685816458682428,12.08228680587963,12.418541767327191
4,20180329,'600000,浦发银行,11.62,11.71,11.45,11.57,11.57,0.05,0.4322,0.1178,33108805,383064999.0,341071174213.0,326565736506.0,11.626000000000001,12.206500000000004,,11.703724688165826,12.12825093369326,12.451762560983731
5,20180328,'600000,浦发银行,11.57,11.75,11.52,11.53,11.62,-0.05,-0.4303,0.0815,22911282,266121467.0,339603570193.0,325160548311.0,11.752000000000002,12.249000000000006,,11.745587032747299,12.18234976284007,12.488054633081832
6,20180327,'600000,浦发银行,11.62,11.77,11.56,11.7,11.61,0.01,0.0861,0.0973,27332809,318586664.0,341071174213.0,326565736506.0,11.896000000000003,12.293500000000005,,11.83338055068931,12.247605867340956,12.528505631196435
7,20180326,'600000,浦发银行,11.61,11.75,11.5,11.71,11.71,-0.1,-0.854,0.1296,36425054,422233460.0,340777653409.0,326284698867.0,12.036000000000001,12.347000000000007,,11.940070828892875,12.314575063200904,12.56894690299807
8,20180323,'600000,浦发银行,11.71,12.06,11.64,12.0,12.25,-0.54,-4.4082,0.2032,57106391,676679666.0,343712861449.0,329095075257.0,12.176000000000002,12.403000000000008,,12.105106249972835,12.389865938821174,12.612091533174286
9,20180322,'600000,浦发银行,12.25,12.35,12.25,12.35,12.29,-0.04,-0.3255,0.0817,22948484,281975042.0,359562984863.0,344271107763.0,12.294000000000002,12.453500000000009,,12.302659386870086,12.462632593201482,12.653133438016077
