日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,Unnamed: 15
2003/1/5,'600030,N 中  信,0,0,0,0,4.5,None,None,None,0,0,0,0,
2003/1/12,'600030,中信证券,6.21,6.46,4.81,5.53,5.87,0.34,5.7922,51.5984,641810641,3594779616,0.258638179,2484000000,
2003/1/19,'600030,中信证券,6.55,6.98,6.1,6.3,6.81,-0.26,-3.8179,16.3397,527676476,3461988212,0.212644157,2620000000,
2003/1/26,'600030,中信证券,6.97,7.14,6.43,6.48,6.5,0.47,7.2308,23.1768,268325848,1808748159,0.108130505,2788000000,
2003/2/2,'600030,中信证券,6.91,7.09,6.81,6.94,7.04,-0.13,-1.8466,7.4053,95061310,662388555,0.038308003,2764000000,
2003/2/16,'600030,中信证券,6.94,7.19,6.72,6.9,6.92,0.02,0.289,3.9991,108378419,751702762,0.043674559,2776000000,
2003/2/23,'600030,中信证券,6.7,7.03,6.67,6.94,6.87,-0.17,-2.4745,6.2989,89804710,615556568,0.036189688,2680000000,
2003/3/2,'600030,中信证券,6.87,6.98,6.69,6.7,6.87,0,0,1.9015,60160959,412457677,0.024243788,2748000000,
2003/3/9,'600030,中信证券,6.77,7.13,6.76,6.86,6.81,-0.04,-0.5874,1.9154,79790014,553422681,0.032153945,2708000000,
2003/3/16,'600030,中信证券,6.48,6.83,6.47,6.78,6.49,-0.01,-0.1541,1.3282,41364827,273698043,0.016669283,2592000000,
2003/3/23,'600030,中信证券,6.6,6.68,6.42,6.48,6.6,0,0,1.3025,38102248,250539699,0.015354523,2640000000,
2003/3/30,'600030,中信证券,6.66,6.81,6.16,6.6,6.63,0.03,0.4525,8.0476,114429183,745347146,0.046112909,2664000000,
2003/4/6,'600030,中信证券,7.21,7.31,6.63,6.66,7.05,0.16,2.2695,7.5249,149743212,1053749213,0.060343829,2884000000,
2003/4/13,'600030,中信证券,8.11,8.32,7.15,7.15,8.06,0.05,0.6203,10.8203,260785838,2050586412,0.105092016,3244000000,
2003/4/20,'600030,中信证券,8.21,9.28,8.1,8.11,8.5,-0.29,-3.4118,7.0928,207431349,1784504966,0.083591114,3284000000,
2003/4/27,'600030,中信证券,7.55,8.18,7.39,8.15,7.6,-0.05,-0.6579,5.6737,142519542,1103225407,0.05743282,3020000000,
2003/5/4,'600030,中信证券,8.21,8.48,7.4,7.51,8.12,0.09,1.1084,8.6476,130683025,1061020635,0.052662916,3284000000,
2003/5/18,'600030,中信证券,8.46,8.66,7.95,8.21,8.38,0.08,0.9547,4.4841,118658122,989512311,0.047817095,3384000000,
2003/5/25,'600030,中信证券,8.39,8.56,8.06,8.48,8.34,0.05,0.5995,7.5503,79174934,659512860,0.031906079,3356000000,
2003/6/1,'600030,中信证券,8.47,8.81,8.23,8.4,8.5,-0.03,-0.3529,3.4777,115295239,984987229,0.046461914,3388000000,
2003/6/8,'600030,中信证券,8.07,8.63,8.04,8.45,8.34,-0.27,-3.2374,4.3476,51834087,432603442,0.020888208,3228000000,
2003/6/15,'600030,中信证券,8.19,8.27,7.86,8.01,8.13,0.06,0.738,1.2463,39710254,319999613,0.01600252,3276000000,
2003/6/22,'600030,中信证券,7.97,8.28,7.92,8.22,8.09,-0.12,-1.4833,1.6827,26394962,214109395,0.010636696,3188000000,
2003/6/29,'600030,中信证券,7.59,7.96,7.52,7.92,7.79,-0.2,-2.5674,0.9826,34609803,267619076,0.01394713,3036000000,
2003/7/6,'600030,中信证券,7.69,7.88,7.52,7.56,7.8,-0.11,-1.4103,1.0059,28399029,219613160,0.011444299,3076000000,
2003/7/13,'600030,中信证券,7.69,7.87,0,0,7.81,-0.12,-1.5365,2.0125,30073276,231848183,0.012118991,3076000000,
2003/7/20,'600030,中信证券,7.86,8.21,7.57,7.69,8.11,-0.25,-3.0826,4.4582,53226213,422155431,0.021449209,3144000000,
2003/7/27,'600030,中信证券,7.59,8.1,7.51,7.85,7.8,-0.21,-2.6923,1.8682,32202514,252315323,0.012977036,3036000000,
2003/8/3,'600030,中信证券,7.34,7.56,7.18,7.52,7.3,0.04,0.5479,0.8851,25598972,187344023,0.010315927,2936000000,
